"Fecha","Fecha banco","Nombre","Tipo","Grupo","Importe","Pagado","No contar","Notas"
"2024-06-26","2024-06-26","Juegos para boda","Regalos Hechos","Gasto","-32.65","Sí","No",""
"2024-06-25","2024-06-25","Carrefour","Otros Vida Diaria","Gasto","-34.51","Sí","No",""
"2024-06-25","2024-06-25","Parking","Otros Vida Diaria","Gasto","-1.35","Sí","No",""
"2024-06-23","2024-06-23","Fotos Carnet","Otros Vida Diaria","Gasto","-6","Sí","No",""
"2024-06-23","2024-06-23","Extrusor Impresora","Hobbies","Gasto","-15.99","Sí","No",""
"2024-06-22","2024-06-22","Cable Impresora","Hobbies","Gasto","-11.99","Sí","No",""
"2024-06-21","2024-06-21","Farmacia, dentista y rosu","Medicinas","Gasto","-21.52","Sí","No",""
"2024-06-20","2024-06-20","Comida","Comida Fuera","Gasto","-12.11","Sí","No",""
"2024-06-20","2024-06-20","Gasolina","Otros Vida Diaria","Gasto","-57.29","Sí","No",""
"2024-06-19","2024-06-19","HotEnd impresora","Hobbies","Gasto","-18.99","Sí","No",""
"2024-06-19","2024-06-19","Corte de Pelo","Otros Vida Diaria","Gasto","-14","Sí","No",""
"2024-06-18","2024-06-18","Comida","Comida Fuera","Gasto","-26.95","Sí","No",""
"2024-06-17","2024-06-17","Compra","Hobbies","Gasto","-21.95","Sí","No",""
"2024-06-13","2024-06-13","Filamento","Hobbies","Gasto","-15.9","Sí","No",""
"2024-06-13","2024-06-13","Chino","Comida Diaria","Gasto","-1.95","Sí","No",""
"2024-06-12","2024-06-12","Sacar dinero en efectivo","Otros Transporte","Gasto","-20","Sí","No",""
"2024-06-11","2024-06-11","Dominio para la boda","Otros Vida Diaria","Gasto","-8.46","Sí","No",""
"2024-06-11","2024-06-11","Impresora etiquetas","Capricho","Gasto","-21.99","Sí","No",""
"2024-06-10","2024-06-10","Metro chulo","Capricho","Gasto","-10.79","Sí","No",""
"2024-06-10","2024-06-10","Destornillador Xiaomi y Quitabarbas","Capricho","Gasto","-33.06","Sí","No",""
"2024-06-09","2024-06-09","Placa Base Ender 3","Hobbies","Gasto","-26.18","Sí","No",""
"2024-06-09","2024-06-09","Regleta y bridas","PC","Gasto","-25.97","Sí","No",""
"2024-06-08","2024-06-08","El Corte Inglés","Comida Diaria","Gasto","-2.99","Sí","No",""
"2024-06-08","2024-06-08","Limpiar el coche","Otros Transporte","Gasto","-1","Sí","No",""
"2024-06-08","2024-06-08","Préstamo Comprar libros de Vicente","Préstamo Hecho","Gasto","-45.5","Sí","No",""
"2024-06-06","2024-06-06","Devolución Renta","Devoluciones Recibidas","Ingreso","194.66","Sí","No",""
"2024-06-04","2024-06-04","Paypal","Hobbies","Gasto","-26.54","Sí","No",""
"2024-06-02","2024-06-02","Devolución Proyector","Muebles y Electrodomésticos","Devolución","485.01","Sí","No",""
"2024-06-02","2024-06-02","Valheim","Videojuegos","Gasto","-21.46","Sí","No",""
"2024-05-29","2024-05-29","Nómina Mayo","Salario","Ingreso","1664.71","Sí","No",""
"2024-05-29","2024-05-29","Compartido + derrama - varias compras","Otros Vida Diaria","Gasto","-693.42","Sí","No",""
"2024-05-29","2024-05-29","Pago a Ana Boda","Otros Vida Diaria","Gasto","-438.66","Sí","No",""
"2024-05-29","2024-05-29","Monitores y Brazo","PC","Gasto","-531.94","Sí","No",""
"2024-05-26","2024-05-26","Carrefour","Otros Vida Diaria","Gasto","-9.19","Sí","No",""
"2024-05-26","2024-05-26","ALDI","Otros Vida Diaria","Gasto","-5.88","Sí","No",""
"2024-05-26","2024-05-26","Devolución Ratón PC","PC","Devolución","73.99","Sí","No",""
"2024-05-25","2024-05-25","Alcampo","Otros Transporte","Gasto","-15.92","Sí","No",""
"2024-05-25","2024-05-25","Mercadona","Otros Vida Diaria","Gasto","-34.67","Sí","No",""
"2024-05-25","2024-05-25","Lavado completo de coche","Otros Transporte","Gasto","-15","Sí","No",""
"2024-05-25","2024-05-25","Chino para papel burbujas","Otros Vida Diaria","Gasto","-6.94","Sí","No",""
"2024-05-24","2024-05-24","Comida Nala","Otros Vida Diaria","Gasto","-24.17","Sí","No",""
"2024-05-23","2024-05-23","Kichi","Otros Vida Diaria","Gasto","-57.2","Sí","No",""
"2024-05-22","2024-05-22","Carrefour","Comida Fuera","Gasto","-4.94","Sí","No",""
"2024-05-21","2024-05-21","Come fuera","Otros Vida Diaria","Gasto","-41.25","Sí","No",""
"2024-05-19","2024-05-19","Proyector Medio pago de Boda","Muebles y Electrodomésticos","Gasto","-485.01","Sí","No",""
"2024-05-19","2024-05-19","Cyberpunk 2077","Videojuegos","Gasto","-29.99","Sí","No",""
"2024-05-18","2024-05-18","Chino","Comida Fuera","Gasto","-2.75","Sí","No",""
"2024-05-18","2024-05-18","Mantenimiento M6 Hyundai 2024","Reparaciones","Gasto","-204.87","Sí","No",""
"2024-05-18","2024-05-18","Costco","Otros Vida Diaria","Gasto","-162.9","Sí","No",""
"2024-05-18","2024-05-18","Chino","Comida Fuera","Gasto","-3.8","Sí","No",""
"2024-05-17","2024-05-17","Ratón PC","PC","Gasto","-66.7","Sí","No",""
"2024-05-14","2024-05-14","Bola de baño para Ana","Regalos Hechos","Gasto","-7.5","Sí","No",""
"2024-05-14","2024-05-14","Compartido","Otros Vida Diaria","Gasto","-100.72","Sí","No",""
"2024-05-07","2024-05-07","Mueble Alex","Muebles y Electrodomésticos","Gasto","-80","Sí","No",""
"2024-05-07","2024-05-07","Cena","Comida Fuera","Gasto","-12.95","Sí","No",""
"2024-05-07","2024-05-07","Bolos","Otros Entretenimiento","Gasto","-36","Sí","No",""
