Name,Money,Date,Tipo Texto,Compartido
HotEnd impresora,"18,99 €",19 de junio de 2024,Hobbies,No
Gasolina,"57,29 €",20 de junio de 2024,Gastos Compartidos,No
Comida,"12,11 €",20 de junio de 2024,Comida Fuera,No
"Farmacia, dentista y rosu","21,52 €",21 de junio de 2024,Medicinas,No
Cable Impresora,"11,99 €",22 de junio de 2024,Hobbies,No
Extrusor Impresora,"15,99 €",23 de junio de 2024,Hobbies,No
Fotos Carnet,"6,00 €",23 de junio de 2024,Otros Vida Diaria,No
Carrefour,"34,51 €",25 de junio de 2024,Gastos Compartidos,No
Parking,"1,35 €",25 de junio de 2024,Gastos Compartidos,No
Juegos para boda,"32,65 €",26 de junio de 2024,Regalos Hechos,No
Mercadona,"4,85 €",26 de junio de 2024,Gastos Compartidos,No
Mercadona,"6,47 €",27 de junio de 2024,Gastos Compartidos,No
Mercadona,"2,54 €",27 de junio de 2024,Gastos Compartidos,No
Gimnasio app,"24,21 €",28 de junio de 2024,Gimnasio,No
Nómina Junio,"1664,71 €",28 de junio de 2024,Salario,No
Red Dead,"19,79 €",28 de junio de 2024,Videojuegos,No
Pago Corte Ingles,"323,50 €",28 de junio de 2024,Casa Nueva,No
Boda,"250,00 €",28 de junio de 2024,Boda,No
Compartido,"573,33 €",28 de junio de 2024,Gastos Compartidos,No
Pago 1/3 Bambu Lab P1S,"209,69 €",2 de julio de 2024,Hobbies,No
Comer fuera,"23,53 €",3 de julio de 2024,Comida Fuera,No
Pijama Primark,"12,00 €",7 de julio de 2024,Ropa,No
Camisa Zara,"29,95 €",7 de julio de 2024,Ropa,No
PLA,"20,47 €",9 de julio de 2024,Hobbies,No
Recreativas Iker,"3,00 €",13 de julio de 2024,Regalos Hechos,No
Lavado de coche,"3,00 €",13 de julio de 2024,Otros Transporte,No
PLA,"30,37 €",14 de julio de 2024,Hobbies,No
PLA,"30,37 €",14 de julio de 2024,Hobbies,No
Gasolina,"62,70 €",15 de julio de 2024,Viaje,No
Comida Javea,"46,10 €",19 de julio de 2024,Comida,No
Primer Pago regalo Ana,"32,87 €",19 de julio de 2024,Regalos Hechos,No
Paddlesurf,"40,00 €",23 de julio de 2024,Entretenimiento,No
Comida Javea,"20,41 €",23 de julio de 2024,Comida,No
Comida Javea,"42,65 €",24 de julio de 2024,Comida,No
Google One,"19,99 €",28 de julio de 2024,Google One,No
Nómina Julio,"1663,01 €",31 de julio de 2024,Salario,No
Compartido,"650,00 €",31 de julio de 2024,Gastos Compartidos,No
Pago Corte Ingles,"323,50 €",31 de julio de 2024,Casa Nueva,No
Boda,"250,00 €",31 de julio de 2024,Boda,No
McDonalds,"13,12 €",4 de agosto de 2024,Comida Fuera,No
Regalo Ana 1/4,"35,49 €",4 de agosto de 2024,Regalos Hechos,No
Devolución Primer Pago regalo Ana,"32,87 €",4 de agosto de 2024,Regalos Hechos,No
Pago 2/3 Bambu Lab P1S,"209,69 €",5 de agosto de 2024,Hobbies,No
Corte de pelo,"14,00 €",6 de agosto de 2024,Otros Vida Diaria,No
Super,"5,60 €",7 de agosto de 2024,Comida Fuera,No
Renovación DNI,"59,58 €",8 de agosto de 2024,Otros Transporte,No
Arena Nala,"11,37 €",8 de agosto de 2024,Gastos Compartidos,No
Compartido,"150,00 €",13 de agosto de 2024,Gastos Compartidos,No
Gafas,"10,00 €",15 de agosto de 2024,Ropa,No
Mercadona,"6,55 €",17 de agosto de 2024,Comida Diaria,No
Mercadona,"6,69 €",19 de agosto de 2024,Comida Diaria,No
Ingreso de dinero,"108,88 €",20 de agosto de 2024,Otros Ingresos,No
Pipeta Nala,"15,00 €",20 de agosto de 2024,Gastos Compartidos,No
Carrefour,"9,82 €",20 de agosto de 2024,Comida Diaria,No
Carrefour,"2,99 €",21 de agosto de 2024,Comida Diaria,No
Carrefour,"7,90 €",22 de agosto de 2024,Comida Diaria,No
Gasolina,"53,06 €",22 de agosto de 2024,Gastos Compartidos,No
Mercadona,"6,52 €",24 de agosto de 2024,Comida Diaria,No
Mercadona,"13,15 €",26 de agosto de 2024,Comida Diaria,No
Compartido,"531,94 €",29 de agosto de 2024,Gastos Compartidos,No
Nómina Agosto,"1663,01 €",29 de agosto de 2024,Salario,No
Pago Notion,"26,81 €",29 de agosto de 2024,Otros Ingresos,No
Pago Corte Ingles,"323,50 €",29 de agosto de 2024,Casa Nueva,No
Regalo Ana 2/4,"32,50 €",1 de septiembre de 2024,Regalos Hechos,No
Filamento,"59,87 €",1 de septiembre de 2024,Hobbies,No
Pago 3/3 Bambu Lab P1S,"209,69 €",2 de septiembre de 2024,Hobbies,No
Papel Chino,"6,95 €",3 de septiembre de 2024,Hobbies,No
Calcetines Bolos,"0,60 €",3 de septiembre de 2024,Espectáculo (Cine/Teatro),No
Ambientador coche,"6,88 €",3 de septiembre de 2024,Otros Transporte,No
Cena Sushi con estos,"26,05 €",4 de septiembre de 2024,Comida Fuera,No
D&D Inicio,"19,95 €",7 de septiembre de 2024,Hobbies,No
Pintura para figuras,"20,89 €",11 de septiembre de 2024,Hobbies,No
Tiger,"4,90 €",13 de septiembre de 2024,Hobbies,No
Carrefour,"5,59 €",14 de septiembre de 2024,Comida Diaria,No
Gasolina Cotsco,"50,85 €",14 de septiembre de 2024,Gastos Compartidos,No
Chino,"1,00 €",15 de septiembre de 2024,Comida Diaria,No
Abono promoción amigo,"40,50 €",16 de septiembre de 2024,Otros Ingresos,No
Chino,"1,00 €",17 de septiembre de 2024,Comida Diaria,No
Tiger,"6,00 €",18 de septiembre de 2024,Hobbies,No
ALDI,"4,38 €",22 de septiembre de 2024,Comida Diaria,No
Aceitunas Costco,"10,00 €",23 de septiembre de 2024,Regalos Hechos,No
Chino,"7,74 €",23 de septiembre de 2024,Hobbies,No
Chino,"5,34 €",24 de septiembre de 2024,Hobbies,No
Chino,"4,50 €",24 de septiembre de 2024,Hobbies,No
Seguro Coche,"368,43 €",26 de septiembre de 2024,Seguro,No
Nómina Septiembre,"1663,01 €",28 de septiembre de 2024,Salario,No
Pizza con estos,"10,00 €",28 de septiembre de 2024,Comida Fuera,No
Compartido,"650,00 €",29 de septiembre de 2024,Gastos Compartidos,No
Pago Corte Ingles,"323,50 €",29 de septiembre de 2024,Casa Nueva,No
Boda,"250,00 €",29 de septiembre de 2024,Boda,No
KFC,"13,20 €",29 de septiembre de 2024,Comida Fuera,No
Regalo Ana 3/4,"32,50 €",30 de septiembre de 2024,Regalos Hechos,No
Comida,"10,96 €",1 de octubre de 2024,Comida Fuera,No
TV Hospital,"12,00 €",4 de octubre de 2024,Otros Entretenimiento,No
Impuesto de circulación,"23,98 €",10 de octubre de 2024,Otros Transporte,No
Cine,"27,00 €",19 de octubre de 2024,Espectáculo (Cine/Teatro),No
Zapatillas Adidas,"63,34 €",19 de octubre de 2024,Ropa,No
Ajuste,"8,50 €",20 de octubre de 2024,Otros Ingresos,No
Carrefour,"6,57 €",23 de octubre de 2024,Comida Diaria,No
KFC,"4,48 €",24 de octubre de 2024,Comida Diaria,No
TKL,"2,80 €",24 de octubre de 2024,Comida Diaria,No
Mercadona,"2,50 €",26 de octubre de 2024,Comida Diaria,No
Burguer,"8,45 €",26 de octubre de 2024,Comida Fuera,No
Carrefour,"3,30 €",28 de octubre de 2024,Comida Diaria,No
The Clover,"13,00 €",28 de octubre de 2024,Comida Fuera,No
Lidl,"3,50 €",30 de octubre de 2024,Comida Diaria,No
ITV,"34,95 €",30 de octubre de 2024,Otros Transporte,No
Regalo Ana 4/4,"32,49 €",31 de octubre de 2024,Regalos Hechos,No
Pago Corte Ingles,"323,50 €",31 de octubre de 2024,Casa Nueva,No
Cargador Baseus para Ana,"34,98 €",31 de octubre de 2024,Casa Nueva,No
Nómina Octubre,"1454,00 €",31 de octubre de 2024,Salario,No
Boda,"755,84 €",31 de octubre de 2024,Boda,No
Carrefour,"1,49 €",1 de noviembre de 2024,Comida Diaria,No
Subrayadores,"5,74 €",1 de noviembre de 2024,Hobbies,No
Mercadona,"7,85 €",2 de noviembre de 2024,Comida Diaria,No
Costco,"15,14 €",3 de noviembre de 2024,Regalos Hechos,No
Costco,"15,00 €",3 de noviembre de 2024,Libros,No
ALDI,"5,25 €",3 de noviembre de 2024,Comida Diaria,No
Midjourney,"11,49 €",4 de noviembre de 2024,Hobbies,No
Amazon a Ana,"38,22 €",4 de noviembre de 2024,Casa Nueva,No
Comer fuera,"21,07 €",4 de noviembre de 2024,Comida Fuera,No
Alcampo,"8,09 €",4 de noviembre de 2024,Comida Diaria,No
Ahorro,"300,00 €",5 de noviembre de 2024,Ahorro,No
Lidl y Ahorramas,"7,77 €",9 de noviembre de 2024,Comida Diaria,No
ALDI,"5,00 €",10 de noviembre de 2024,Comida Diaria,No
Alcampo,"7,75 €",11 de noviembre de 2024,Comida Diaria,No
ALDI,"3,38 €",13 de noviembre de 2024,Comida Diaria,No
Burguer,"5,85 €",18 de noviembre de 2024,Comida Diaria,No
Chino,"3,50 €",26 de noviembre de 2024,Comida Diaria,No
Cosas Aliexpress,"4,66 €",27 de noviembre de 2024,Capricho,No
KFC y Bimbo,"10,90 €",28 de noviembre de 2024,Comida Diaria,No
Burguer King,"20,72 €",29 de noviembre de 2024,Comida Diaria,No
Libro Regalo Papa,"21,90 €",29 de noviembre de 2024,Regalos Hechos,No
Bolso regalo de Ana,"22,54 €",29 de noviembre de 2024,Regalos Hechos,No
Cuaderno Aviación,"16,14 €",29 de noviembre de 2024,Hobbies,No
Ahorro Noviembre,"719,50 €",29 de noviembre de 2024,Ahorro,No
Regalo de Ana 2,"25,90 €",29 de noviembre de 2024,Regalos Hechos,No
Nómina Noviembre,"1663,01 €",29 de noviembre de 2024,Salario,No
Pago Deuda Ana,"348,00 €",29 de noviembre de 2024,Casa Nueva,No
Regalo Navidad Ana,"100,00 €",30 de noviembre de 2024,Regalos Hechos,No
Ahorro de Rendondeo,"2,45 €",30 de noviembre de 2024,Ahorro,No
Mueble cocina para Ana,"84,99 €",30 de noviembre de 2024,Casa Nueva,No
Bañadores Ana,"71,13 €",1 de diciembre de 2024,Casa Nueva,No
Merkocash,"2,65 €",2 de diciembre de 2024,Comida Diaria,No
Regalo Papa AI,"19,99 €",4 de diciembre de 2024,Regalos Hechos,No
ahorramas,"3,39 €",4 de diciembre de 2024,Comida Diaria,No
Parte del regalo ana,"5,30 €",4 de diciembre de 2024,Regalos Hechos,No
Aliexpress parte de Ana,"12,21 €",5 de diciembre de 2024,Regalos Hechos,No
Cosas de ana en chino,"14,85 €",5 de diciembre de 2024,Casa Nueva,No
McDonald,"17,45 €",5 de diciembre de 2024,Comida Fuera,No
Kebab con estos,"9,50 €",6 de diciembre de 2024,Comida Fuera,No
Ahorro automatico,"2,72 €",7 de diciembre de 2024,Ahorro,No
Parte del regalo ana,"8,99 €",7 de diciembre de 2024,Regalos Hechos,No
Midjourney,"11,90 €",7 de diciembre de 2024,Hobbies,No
Parte del regalo ana,"22,90 €",8 de diciembre de 2024,Regalos Hechos,No
Mercadona,"5,65 €",13 de diciembre de 2024,Comida Diaria,No
Aliexpres,"14,38 €",15 de diciembre de 2024,Regalos Hechos,No
ALDI,"4,94 €",15 de diciembre de 2024,Comida Diaria,No
ALDI,"6,96 €",15 de diciembre de 2024,Comida Diaria,No
ALDI,"2,08 €",15 de diciembre de 2024,Comida Diaria,No
Gimnasio,"28,04 €",16 de diciembre de 2024,Gimnasio,No
MiAlcampo,"4,36 €",18 de diciembre de 2024,Comida Diaria,No
Ahorramas,"3,79 €",18 de diciembre de 2024,Comida Diaria,No
Chino,"1,00 €",19 de diciembre de 2024,Comida Diaria,No
Popeyes,"13,97 €",19 de diciembre de 2024,Comida Fuera,No
Comida con estos,"34,00 €",20 de diciembre de 2024,Comida Fuera,No
Regalo estos,"6,40 €",21 de diciembre de 2024,Regalos Hechos,No
Nesteas con estos,"7,60 €",22 de diciembre de 2024,Comida Fuera,No
ALDI,"3,93 €",22 de diciembre de 2024,Comida Diaria,No
Ahorro automático,"7,02 €",23 de diciembre de 2024,Ahorro,No
Mercadona,"21,27 €",23 de diciembre de 2024,Comida Diaria,No
Pan Londres,"3,00 €",23 de diciembre de 2024,Comida Diaria,No
Ahorro,"-132,02 €",23 de diciembre de 2024,Ahorro,No
Comida,"2,75 €",24 de diciembre de 2024,Comida Diaria,No
"Comida ","7,59 €",25 de diciembre de 2024,Comida Diaria,No
COmida,"35,70 €",28 de diciembre de 2024,Comida Diaria,No
Ahorro Diciembre,"1431,87 €",31 de diciembre de 2024,Ahorro,No
Deuda con Ana,"117,66 €",31 de diciembre de 2024,Casa Nueva,No
